,player_id,alt_player_id,player_name,school,Total Completions,Mean Completions,Highest Completions,Lowest Completions,Total Passing Attempts,Mean Passing Attempts,Highest Passing Attempts,Lowest Passing Attempts,Total Completion Percentage,Mean Completion Percentage,Highest Completion Percentage,Lowest Completion Percentage,Total Passing Yards,Mean Passing Yards,Highest Passing Yards,Lowest Passing Yards,Total Yards Per Pass Attempt,Mean Yards Per Pass Attempt,Highest Yards Per Pass Attempt,Lowest Yards Per Pass Attempt,Total Passing Touchdowns,Mean Passing Touchdowns,Highest Passing Touchdowns,Lowest Passing Touchdowns,Total Longest Pass,Mean Longest Pass,Highest Longest Pass,Lowest Longest Pass,Total Passer Rating,Mean Passer Rating,Highest Passer Rating,Lowest Passer Rating,Total Rushing Attempts,Mean Rushing Attempts,Highest Rushing Attempts,Lowest Rushing Attempts,Total Rushing Yards,Mean Rushing Yards,Highest Rushing Yards,Lowest Rushing Yards,Total Yards Per Rush Attempt,Mean Yards Per Rush Attempt,Highest Yards Per Rush Attempt,Lowest Yards Per Rush Attempt,Total Rushing Touchdowns,Mean Rushing Touchdowns,Highest Rushing Touchdowns,Lowest Rushing Touchdowns,Total Interceptions,Mean Interceptions,Highest Interceptions,Lowest Interceptions
99,17339,4043089,Jack Thompson,Washington State,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,6.0,3.0,4.0,2.0
1163,52092,3139477,Patrick Mahomes,Texas Tech,857.0,285.6666666666667,388.0,105.0,1349.0,449.6666666666667,591.0,185.0,186.0,62.0,65.7,56.8,11252.0,3750.6666666666665,5052.0,1547.0,25.0,8.333333333333334,8.5,8.1,186.0,31.0,41.0,16.0,253.0,84.33333333333333,90.0,81.0,455.4,151.79999999999998,157.0,147.2,308.0,102.66666666666667,131.0,46.0,845.0,281.6666666666667,456.0,104.0,8.0,2.6666666666666665,3.5,2.2,44.0,7.333333333333333,12.0,0.0,29.0,9.666666666666666,15.0,4.0
1276,51563,3122840,Deshaun Watson,Clemson,814.0,271.3333333333333,388.0,93.0,1207.0,402.3333333333333,579.0,137.0,202.7,67.56666666666666,67.9,67.0,10163.0,3387.6666666666665,4593.0,1466.0,27.0,9.0,10.7,7.9,180.0,30.0,41.0,14.0,206.0,68.66666666666667,74.0,65.0,496.0,165.33333333333334,188.6,151.1,435.0,145.0,207.0,63.0,1934.0,644.6666666666666,1105.0,200.0,12.3,4.1000000000000005,5.3,3.2,52.0,8.666666666666666,12.0,5.0,32.0,10.666666666666666,17.0,2.0
2239,51681,3129302,DeShone Kizer,Notre Dame,423.0,211.5,212.0,211.0,696.0,348.0,361.0,335.0,121.7,60.85,63.0,58.7,5809.0,2904.5,2925.0,2884.0,16.7,8.35,8.6,8.1,94.0,23.5,26.0,21.0,160.0,80.0,81.0,79.0,295.6,147.8,150.0,145.6,263.0,131.5,134.0,129.0,992.0,496.0,520.0,472.0,7.6,3.8,3.9,3.7,36.0,9.0,10.0,8.0,19.0,9.5,10.0,9.0
3296,51567,3123048,Brad Kaaya,Miami,720.0,240.0,261.0,221.0,1188.0,396.0,421.0,378.0,181.7,60.56666666666666,62.0,58.5,9968.0,3322.6666666666665,3532.0,3198.0,25.200000000000003,8.4,8.5,8.3,138.0,23.0,27.0,16.0,223.0,74.33333333333333,79.0,67.0,438.3,146.1,150.3,142.1,94.0,31.333333333333332,37.0,27.0,-386.0,-128.66666666666666,-119.0,-136.0,-12.600000000000001,-4.2,-3.7,-4.9,8.0,1.3333333333333333,2.0,1.0,24.0,8.0,12.0,5.0
4262,101504,3912547,Sam Darnold,USC,549.0,274.5,303.0,246.0,846.0,423.0,480.0,366.0,130.3,65.15,67.2,63.1,7229.0,3614.5,4143.0,3086.0,17.0,8.5,8.6,8.4,114.0,28.5,31.0,26.0,123.0,61.5,67.0,56.0,309.2,154.6,161.1,148.1,137.0,68.5,75.0,62.0,332.0,166.0,250.0,82.0,5.1,2.55,4.0,1.1,14.0,3.5,5.0,2.0,22.0,11.0,13.0,9.0
4564,101506,3886377,Josh Rosen,UCLA,712.0,237.33333333333334,292.0,137.0,1170.0,390.0,487.0,231.0,181.9,60.63333333333333,62.6,59.3,9341.0,3113.6666666666665,3756.0,1915.0,24.1,8.033333333333333,8.3,7.5,118.0,19.666666666666668,26.0,10.0,201.0,67.0,70.0,65.0,420.20000000000005,140.0666666666667,147.0,134.3,109.0,36.333333333333336,50.0,22.0,-154.0,-51.333333333333336,15.0,-97.0,-4.8,-1.5999999999999999,0.4,-3.3,12.0,2.0,2.0,2.0,26.0,8.666666666666666,11.0,5.0
5734,101568,3916387,Lamar Jackson,Louisville,619.0,206.33333333333334,254.0,135.0,1086.0,362.0,430.0,247.0,170.0,56.666666666666664,59.1,54.7,9043.0,3014.3333333333335,3660.0,1840.0,24.6,8.200000000000001,8.7,7.4,138.0,23.0,30.0,12.0,208.0,69.33333333333333,78.0,56.0,422.20000000000005,140.73333333333335,148.8,126.8,655.0,218.33333333333334,260.0,163.0,4132.0,1377.3333333333333,1601.0,960.0,18.8,6.266666666666667,6.9,5.9,100.0,16.666666666666668,21.0,11.0,27.0,9.0,10.0,8.0
7612,101545,3116407,Mason Rudolph,Oklahoma State,915.0,228.75,318.0,49.0,1447.0,361.75,489.0,86.0,247.7,61.925,65.0,57.0,13618.0,3404.5,4904.0,853.0,37.9,9.475,10.0,8.9,184.0,23.0,37.0,6.0,327.0,81.75,91.0,68.0,632.6,158.15,170.6,149.1,225.0,56.25,83.0,14.0,28.0,7.0,61.0,-35.0,-1.6,-0.4,0.7,-2.4,34.0,4.25,10.0,0.0,26.0,6.5,9.0,4.0
13991,101829,3931782,Chase Litton,Marshall,727.0,242.33333333333334,266.0,230.0,1197.0,399.0,443.0,371.0,182.4,60.800000000000004,62.3,60.0,8332.0,2777.3333333333335,3115.0,2605.0,20.8,6.933333333333334,7.0,6.8,144.0,24.0,25.0,23.0,225.0,75.0,83.0,66.0,402.1,134.03333333333333,137.9,131.4,117.0,39.0,48.0,34.0,-77.0,-25.666666666666668,44.0,-133.0,-2.7,-0.9,0.9,-3.9,4.0,0.6666666666666666,1.0,0.0,31.0,10.333333333333334,14.0,8.0
