,player_id,alt_player_id,player_name,school,Total Rushing Attempts,Mean Rushing Attempts,Highest Rushing Attempts,Lowest Rushing Attempts,Total Rushing Yards,Mean Rushing Yards,Highest Rushing Yards,Lowest Rushing Yards,Total Yards Per Rush Attempt,Mean Yards Per Rush Attempt,Highest Yards Per Rush Attempt,Lowest Yards Per Rush Attempt,Total Rushing Touchdowns,Mean Rushing Touchdowns,Highest Rushing Touchdowns,Lowest Rushing Touchdowns,Total Long Rushing,Mean Long Rushing,Highest Long Rushing,Lowest Long Rushing,Total Receptions,Mean Receptions,Highest Receptions,Lowest Receptions,Total Receiving Yards,Mean Receiving Yards,Highest Receiving Yards,Lowest Receiving Yards,Total Yards Per Reception,Mean Yards Per Reception,Highest Yards Per Reception,Lowest Yards Per Reception,Total Long Reception,Mean Long Reception,Highest Long Reception,Lowest Long Reception,Total Receiving Touchdowns,Mean Receiving Touchdowns,Highest Receiving Touchdowns,Lowest Receiving Touchdowns
493,47131,3116757,Tyson Gulley,Syracuse,128.0,128.0,128.0,128.0,614.0,614.0,614.0,614.0,4.8,4.8,4.8,4.8,2.0,1.0,1.0,1.0,65.0,65.0,65.0,65.0,21.0,21.0,21.0,21.0,107.0,107.0,107.0,107.0,5.1,5.1,5.1,5.1,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0
594,50029,3122866,Devontae Booker,Utah,560.0,280.0,292.0,268.0,2773.0,1386.5,1512.0,1261.0,9.9,4.95,5.2,4.7,42.0,10.5,11.0,10.0,138.0,69.0,76.0,62.0,80.0,40.0,43.0,37.0,624.0,312.0,318.0,306.0,15.7,7.85,8.6,7.1,104.0,52.0,61.0,43.0,4.0,1.0,2.0,0.0
1060,51575,3117251,Christian McCaffrey,Stanford,632.0,210.66666666666666,337.0,42.0,3922.0,1307.3333333333333,2019.0,300.0,19.4,6.466666666666666,7.1,6.0,42.0,7.0,13.0,0.0,197.0,65.66666666666667,90.0,37.0,99.0,33.0,45.0,17.0,1206.0,402.0,645.0,251.0,37.5,12.5,14.8,8.4,183.0,61.0,75.0,52.0,20.0,3.3333333333333335,5.0,2.0
1893,51658,3116593,Dalvin Cook,Florida State,687.0,229.0,288.0,170.0,4464.0,1488.0,1765.0,1008.0,19.4,6.466666666666666,7.4,5.9,92.0,15.333333333333334,19.0,8.0,213.0,71.0,94.0,44.0,79.0,26.333333333333332,33.0,22.0,935.0,311.6666666666667,488.0,203.0,34.2,11.4,14.8,9.2,125.0,41.666666666666664,59.0,30.0,4.0,0.6666666666666666,1.0,0.0
2544,51716,3125116,D'Onta Foreman,Texas,433.0,144.33333333333334,323.0,15.0,2782.0,927.3333333333334,2028.0,73.0,18.400000000000002,6.133333333333334,7.2,4.9,40.0,8.0,15.0,0.0,201.0,67.0,93.0,34.0,13.0,4.333333333333333,7.0,1.0,146.0,48.666666666666664,75.0,7.0,30.5,10.166666666666666,12.8,7.0,50.0,16.666666666666668,22.0,7.0,0.0,0.0,0.0,0.0
2778,51901,3912576,Joe Williams,Utah,314.0,157.0,210.0,104.0,1884.0,942.0,1407.0,477.0,11.3,5.65,6.7,4.6,26.0,6.5,10.0,3.0,146.0,73.0,82.0,64.0,20.0,10.0,11.0,9.0,191.0,95.5,107.0,84.0,19.5,9.75,11.9,7.6,72.0,36.0,56.0,16.0,0.0,0.0,0.0,0.0
2888,51792,3139605,Marlon Mack,South Florida,586.0,195.33333333333334,210.0,174.0,3609.0,1203.0,1381.0,1041.0,18.6,6.2,6.8,5.2,64.0,10.666666666666666,15.0,8.0,219.0,73.0,85.0,59.0,65.0,21.666666666666668,28.0,16.0,498.0,166.0,227.0,111.0,22.6,7.533333333333334,8.1,6.9,76.0,25.333333333333332,37.0,19.0,2.0,0.3333333333333333,1.0,0.0
2954,51785,3125403,Brian Hill,Wyoming,775.0,258.3333333333333,349.0,145.0,4287.0,1429.0,1860.0,796.0,16.6,5.533333333333334,5.8,5.3,70.0,11.666666666666666,22.0,6.0,227.0,75.66666666666667,89.0,66.0,41.0,13.666666666666666,20.0,8.0,403.0,134.33333333333334,204.0,67.0,30.699999999999996,10.233333333333333,15.7,6.6,80.0,26.666666666666668,40.0,19.0,0.0,0.0,0.0,0.0
3038,51786,3127586,Jeremy McNichols,Boise State,571.0,190.33333333333334,314.0,17.0,3205.0,1068.3333333333333,1709.0,159.0,20.4,6.8,9.4,5.4,88.0,14.666666666666666,23.0,1.0,196.0,65.33333333333333,88.0,28.0,103.0,34.333333333333336,51.0,15.0,1089.0,363.0,474.0,155.0,32.1,10.700000000000001,12.8,9.0,157.0,52.333333333333336,76.0,40.0,22.0,3.6666666666666665,6.0,1.0
3500,52068,3918026,Devante Mays,Utah State,202.0,101.0,165.0,37.0,1225.0,612.5,966.0,259.0,12.9,6.45,7.0,5.9,24.0,6.0,9.0,3.0,127.0,63.5,66.0,61.0,2.0,1.0,1.0,1.0,17.0,8.5,9.0,8.0,17.0,8.5,9.0,8.0,17.0,8.5,9.0,8.0,0.0,0.0,0.0,0.0
