,player_id,alt_player_id,player_name,school,Total Receptions,Mean Receptions,Highest Receptions,Lowest Receptions,Total Receiving Yards,Mean Receiving Yards,Highest Receiving Yards,Lowest Receiving Yards,Total Receiving Touchdowns,Mean Receiving Touchdowns,Highest Receiving Touchdowns,Lowest Receiving Touchdowns,Total Yards Per Reception,Mean Yards Per Reception,Highest Yards Per Reception,Lowest Yards Per Reception,Total Long Reception,Mean Long Reception,Highest Long Reception,Lowest Long Reception
63,17055,3921651,Ronnie Smith,San Diego State,0,,,,0,,,,0.0,0.0,0.0,0.0,0,,,,0,,,
144,18803,4242976,Dokie Williams,UCLA,0,,,,0,,,,0,,,,0,,,,0,,,
420,22983,4240830,Germane Crowell,Virginia,0,,,,0,,,,0,,,,0,,,,0,,,
724,50130,3123986,Michael Thomas,Southern Mississippi,112.0,56.0,71.0,41.0,1983.0,991.5,1391.0,592.0,38.0,9.5,14.0,5.0,34.0,17.0,19.6,14.4,113.0,56.5,69.0,44.0
770,50142,3125354,Hunter Sharp,Utah State,137.0,68.5,71.0,66.0,1774.0,887.0,939.0,835.0,32.0,8.0,9.0,7.0,26.0,13.0,14.2,11.8,130.0,65.0,81.0,49.0
844,50446,3125745,Roger Lewis,Bowling Green,158.0,79.0,85.0,73.0,2637.0,1318.5,1544.0,1093.0,46.0,11.5,16.0,7.0,33.2,16.6,18.2,15.0,176.0,88.0,94.0,82.0
1782,51813,3121427,Curtis Samuel,Ohio State,107.0,35.666666666666664,74.0,11.0,1249.0,416.3333333333333,865.0,95.0,18.0,3.0,7.0,0.0,33.4,11.133333333333333,13.1,8.6,149.0,49.666666666666664,79.0,30.0
2336,51581,3120348,JuJu Smith-Schuster,USC,213.0,71.0,89.0,54.0,3092.0,1030.6666666666667,1454.0,724.0,50.0,8.333333333333334,10.0,5.0,42.800000000000004,14.266666666666667,16.3,13.1,195.0,65.0,75.0,53.0
2474,51796,3116165,Chris Godwin,Penn State,154.0,51.333333333333336,69.0,26.0,2421.0,807.0,1101.0,338.0,36.0,6.0,11.0,2.0,45.6,15.200000000000001,16.6,13.0,200.0,66.66666666666667,72.0,56.0
3167,51802,3128724,Isaiah McKenzie,Georgia,60.0,20.0,44.0,6.0,823.0,274.3333333333333,633.0,67.0,14.0,2.3333333333333335,7.0,0.0,37.9,12.633333333333333,14.4,11.2,143.0,47.666666666666664,77.0,30.0
3404,51709,3124069,Isaiah Ford,Virginia Tech,210.0,70.0,79.0,56.0,2967.0,989.0,1164.0,709.0,48.0,8.0,11.0,6.0,42.0,14.0,15.5,12.7,161.0,53.666666666666664,75.0,33.0
3538,51798,3121409,Noah Brown,Ohio State,33.0,16.5,32.0,1.0,411.0,205.5,402.0,9.0,14.0,4.666666666666667,7.0,0.0,21.6,10.8,12.6,9.0,46.0,23.0,37.0,9.0
3722,51673,3128348,KD Cannon,Baylor,195.0,65.0,87.0,50.0,3113.0,1037.6666666666667,1215.0,868.0,54.0,9.0,13.0,6.0,49.2,16.400000000000002,17.8,14.0,228.0,76.0,89.0,68.0
3855,51805,3895428,Jamari Staples,Louisville,0,,,,0,,,,3.0,3.0,3.0,3.0,0,,,,0,,,
3864,51672,3122935,Travis Rudolph,Florida State,153.0,51.0,59.0,38.0,2311.0,770.3333333333334,916.0,555.0,36.0,6.0,7.0,4.0,45.1,15.033333333333333,15.5,14.6,201.0,67.0,75.0,58.0
3924,101498,3122839,Artavis Scott,Clemson,245.0,81.66666666666667,93.0,76.0,2480.0,826.6666666666666,965.0,614.0,38.0,6.333333333333333,8.0,5.0,30.5,10.166666666666666,12.7,8.1,149.0,49.666666666666664,70.0,28.0
5105,101759,3915416,D.J. Moore,Maryland,146.0,48.666666666666664,80.0,25.0,2027.0,675.6666666666666,1033.0,357.0,34.0,5.666666666666667,8.0,3.0,42.7,14.233333333333334,15.5,12.9,196.0,65.33333333333333,92.0,52.0
5322,101515,3925357,Calvin Ridley,Alabama,224.0,74.66666666666667,89.0,63.0,2781.0,927.0,1045.0,769.0,38.0,6.333333333333333,7.0,5.0,37.7,12.566666666666668,15.3,10.7,211.0,70.33333333333333,81.0,52.0
5984,101521,3128429,Courtland Sutton,SMU,195.0,48.75,76.0,2.0,3220.0,805.0,1246.0,27.0,62.0,8.857142857142858,12.0,0.0,63.5,15.875,17.6,13.5,221.0,55.25,88.0,20.0
6296,101565,3127306,Dante Pettis,Washington,163.0,40.75,63.0,17.0,2256.0,564.0,822.0,259.0,48.0,6.0,15.0,1.0,56.6,14.15,15.5,12.1,215.0,53.75,73.0,33.0
6518,101517,3895856,Christian Kirk,Texas A&M,234.0,78.0,83.0,71.0,2856.0,952.0,1009.0,919.0,52.0,8.666666666666666,10.0,7.0,36.699999999999996,12.233333333333333,12.9,11.2,216.0,72.0,81.0,66.0
7016,101552,3122449,James Washington,Oklahoma State,226.0,56.5,74.0,28.0,4472.0,1118.0,1549.0,456.0,78.0,9.75,13.0,6.0,77.1,19.275,20.9,16.3,320.0,80.0,91.0,68.0
7822,101615,4036348,Michael Gallup,Colorado State,176.0,88.0,100.0,76.0,2685.0,1342.5,1413.0,1272.0,42.0,10.5,14.0,7.0,30.799999999999997,15.399999999999999,16.7,14.1,141.0,70.5,76.0,65.0
8334,101780,3915823,Keke Coutee,Texas Tech,159.0,53.0,93.0,11.0,2424.0,808.0,1429.0,105.0,34.0,6.8,10.0,0.0,41.1,13.700000000000001,16.2,9.5,180.0,60.0,80.0,23.0
8516,101561,3915097,Antonio Callaway,Florida,89.0,44.5,54.0,35.0,1399.0,699.5,721.0,678.0,14.0,3.5,4.0,3.0,32.8,16.4,19.4,13.4,144.0,72.0,78.0,66.0
9698,101636,4040792,Jaleel Scott,New Mexico State,99.0,49.5,76.0,23.0,1362.0,681.0,1079.0,283.0,28.0,7.0,9.0,5.0,26.5,13.25,14.2,12.3,86.0,43.0,45.0,41.0
10324,101796,3120659,Daurice Fountain,Northern Iowa,0,,,,0,,,,23.0,5.75,12.0,1.0,0,,,,0,,,
10369,101839,3134302,Jordan Lasley,UCLA,113.0,37.666666666666664,69.0,3.0,1901.0,633.6666666666666,1264.0,17.0,28.0,5.6,9.0,0.0,39.1,13.033333333333333,18.3,5.7,141.0,47.0,75.0,7.0
10838,102341,3895857,Damion Ratley,Texas A&M,47.0,15.666666666666666,30.0,2.0,920.0,306.6666666666667,694.0,26.0,16.0,3.2,6.0,0.0,49.400000000000006,16.46666666666667,23.1,13.0,138.0,46.0,76.0,20.0
11023,101579,3728254,Deon Cain,Clemson,130.0,43.333333333333336,58.0,34.0,2040.0,680.0,734.0,582.0,40.0,6.666666666666667,9.0,5.0,48.900000000000006,16.3,19.1,12.7,193.0,64.33333333333333,67.0,61.0
11134,101800,3728262,Ray-Ray McCloud,Clemson,127.0,42.333333333333336,49.0,29.0,1226.0,408.6666666666667,503.0,251.0,8.0,1.3333333333333333,2.0,1.0,28.599999999999998,9.533333333333333,10.3,8.7,151.0,50.333333333333336,79.0,36.0
11471,101808,3932442,Equanimeous St. Brown,Notre Dame,92.0,30.666666666666668,58.0,1.0,1484.0,494.6666666666667,961.0,8.0,26.0,5.2,9.0,0.0,40.2,13.4,16.6,8.0,162.0,54.0,79.0,8.0
11513,101833,4036335,Cedrick Wilson,Boise State,139.0,69.5,83.0,56.0,2640.0,1320.0,1511.0,1129.0,36.0,9.0,11.0,7.0,38.4,19.2,20.2,18.2,140.0,70.0,75.0,65.0
11666,101761,3123075,Braxton Berrios,Miami,100.0,25.0,55.0,12.0,1175.0,293.75,679.0,86.0,28.0,4.0,9.0,0.0,45.3,11.325,14.8,7.2,140.0,35.0,55.0,14.0
11951,101734,4035019,Javon Wims,Georgia,62.0,31.0,45.0,17.0,910.0,455.0,720.0,190.0,16.0,4.0,7.0,1.0,27.2,13.6,16.0,11.2,89.0,44.5,51.0,38.0
12371,101762,3122899,Richie James,Middle Tennessee,244.0,81.33333333333333,108.0,31.0,3261.0,1087.0,1625.0,290.0,46.0,7.666666666666667,12.0,3.0,37.4,12.466666666666667,15.5,9.4,156.0,52.0,69.0,31.0
12856,101584,3128390,Allen Lazard,Iowa State,241.0,60.25,71.0,45.0,3360.0,840.0,1018.0,593.0,52.0,6.5,10.0,3.0,55.7,13.925,14.8,13.2,225.0,56.25,74.0,36.0
13696,101648,3932935,Deontay Burnett,USC,152.0,50.666666666666664,86.0,10.0,1897.0,632.3333333333334,1114.0,161.0,32.0,6.4,9.0,0.0,40.2,13.4,16.1,11.1,116.0,38.666666666666664,42.0,34.0
14619,101757,4036416,Byron Pringle,Kansas State,69.0,34.5,39.0,30.0,1355.0,677.5,724.0,631.0,20.0,5.0,6.0,4.0,40.3,20.15,24.1,16.2,143.0,71.5,83.0,60.0
15131,101645,3895789,Quadree Henderson,Pittsburgh,45.0,15.0,26.0,2.0,473.0,157.66666666666666,286.0,1.0,2.0,0.3333333333333333,1.0,0.0,22.4,7.466666666666666,11.0,0.5,112.0,37.333333333333336,74.0,1.0
15274,102066,3124079,Cam Phillips,Virginia Tech,236.0,59.0,76.0,40.0,3027.0,756.75,983.0,498.0,34.0,4.25,7.0,2.0,50.800000000000004,12.700000000000001,13.6,11.9,196.0,49.0,60.0,36.0
16689,103534,4047839,N'Keal Harry,Arizona State,213.0,71.0,82.0,58.0,2889.0,963.0,1142.0,659.0,44.0,7.333333333333333,9.0,5.0,40.2,13.4,14.9,11.4,168.0,56.0,70.0,37.0
16875,103567,3126486,Deebo Samuel,South Carolina,148.0,37.0,62.0,12.0,2076.0,519.0,882.0,161.0,32.0,4.0,11.0,1.0,57.60000000000001,14.400000000000002,16.7,13.3,252.0,63.0,89.0,47.0
17414,103532,4047646,A.J. Brown,Ole Miss,189.0,63.0,85.0,29.0,2984.0,994.6666666666666,1320.0,412.0,38.0,6.333333333333333,11.0,2.0,46.4,15.466666666666667,16.7,14.2,198.0,66.0,84.0,37.0
17650,103860,4035004,Mecole Hardman,Georgia,59.0,29.5,34.0,25.0,950.0,475.0,532.0,418.0,22.0,5.5,7.0,4.0,32.3,16.15,16.7,15.6,139.0,69.5,80.0,59.0
17733,103574,3931397,JJ Arcega-Whiteside,Stanford,135.0,45.0,63.0,24.0,2219.0,739.6666666666666,1059.0,379.0,56.0,9.333333333333334,14.0,5.0,48.900000000000006,16.3,16.8,15.8,186.0,62.0,80.0,45.0
17825,103553,3121410,Parris Campbell,Ohio State,143.0,47.666666666666664,90.0,13.0,1768.0,589.3333333333334,1063.0,121.0,30.0,5.0,12.0,0.0,35.7,11.9,14.6,9.3,168.0,56.0,78.0,16.0
18201,103557,4047650,DK Metcalf,Ole Miss,67.0,22.333333333333332,39.0,2.0,1228.0,409.3333333333333,646.0,13.0,28.0,4.666666666666667,7.0,2.0,45.0,15.0,21.9,6.5,156.0,52.0,75.0,10.0
18279,103915,3932905,Diontae Johnson,Toledo,137.0,45.666666666666664,74.0,14.0,2276.0,758.6666666666666,1278.0,237.0,47.0,7.833333333333333,13.0,2.0,49.7,16.566666666666666,17.3,15.5,205.0,68.33333333333333,89.0,36.0
18897,103800,3121422,Terry McLaurin,Ohio State,75.0,25.0,35.0,11.0,1251.0,417.0,701.0,114.0,38.0,6.333333333333333,11.0,2.0,45.4,15.133333333333333,20.0,10.4,178.0,59.333333333333336,84.0,19.0
19536,103864,3932423,Miles Boykin,Notre Dame,77.0,25.666666666666668,59.0,6.0,1206.0,402.0,872.0,81.0,22.0,3.6666666666666665,8.0,1.0,49.400000000000006,16.46666666666667,21.1,13.5,120.0,40.0,55.0,25.0
19852,103546,3917940,Hakeem Butler,Iowa State,110.0,36.666666666666664,60.0,9.0,2149.0,716.3333333333334,1318.0,134.0,36.0,6.0,9.0,2.0,53.9,17.966666666666665,22.0,14.9,196.0,65.33333333333333,83.0,39.0
20522,103686,3916071,Gary Jennings Jr.,West Virginia,168.0,42.0,97.0,7.0,2294.0,573.5,1096.0,116.0,34.0,4.25,13.0,1.0,61.400000000000006,15.350000000000001,17.0,11.3,257.0,64.25,75.0,58.0
20867,103858,4035015,Riley Ridley,Georgia,70.0,23.333333333333332,44.0,12.0,1026.0,342.0,570.0,218.0,26.0,4.333333333333333,9.0,2.0,48.4,16.133333333333333,19.8,13.0,139.0,46.333333333333336,57.0,35.0
21914,103624,3135321,Hunter Renfrow,Clemson,186.0,46.5,60.0,33.0,2133.0,533.25,602.0,492.0,30.0,3.75,6.0,1.0,47.300000000000004,11.825000000000001,14.9,10.0,193.0,48.25,61.0,35.0
23120,103862,3916945,Darius Slayton,Auburn,79.0,26.333333333333332,35.0,15.0,1605.0,535.0,670.0,292.0,22.0,3.6666666666666665,5.0,1.0,60.800000000000004,20.26666666666667,22.2,19.1,192.0,64.0,74.0,56.0
23243,103717,3124537,Keesean Johnson,Fresno State,275.0,68.75,95.0,37.0,3463.0,865.75,1340.0,337.0,48.0,6.0,8.0,2.0,48.1,12.025,14.1,9.1,208.0,52.0,81.0,29.0
23732,103903,3139522,Travis Fulgham,Old Dominion,128.0,32.0,63.0,6.0,2044.0,511.0,1083.0,89.0,36.0,5.142857142857143,9.0,0.0,61.599999999999994,15.399999999999999,17.2,13.1,212.0,53.0,71.0,24.0
23954,104046,3128317,Juwann Winfree,Colorado,60.0,20.0,28.0,11.0,807.0,269.0,325.0,158.0,12.0,2.0,2.0,2.0,41.5,13.833333333333334,15.5,11.6,143.0,47.666666666666664,79.0,31.0
24604,104050,3124964,Marcus Green,UL Monroe,203.0,50.75,63.0,36.0,2726.0,681.5,855.0,344.0,48.0,6.0,8.0,4.0,53.2,13.3,17.1,9.6,274.0,68.5,80.0,49.0
24876,103580,4036163,Kelvin Harmon,NC State,177.0,59.0,81.0,27.0,2665.0,888.3333333333334,1186.0,462.0,32.0,5.333333333333333,7.0,4.0,46.4,15.466666666666667,17.1,14.6,190.0,63.333333333333336,74.0,48.0
25008,104052,3914397,Scott Miller,Bowling Green,215.0,53.75,74.0,7.0,2867.0,716.75,1148.0,29.0,46.0,6.571428571428571,10.0,0.0,44.9,11.225,16.2,4.1,230.0,57.5,76.0,13.0
26396,103882,3933064,John Ursua,Hawai'i,189.0,63.0,89.0,47.0,2662.0,887.3333333333334,1343.0,652.0,48.0,8.0,16.0,3.0,41.6,13.866666666666667,15.1,12.3,209.0,69.66666666666667,85.0,44.0
26466,103594,3915174,Terry Godwin,Georgia,133.0,33.25,38.0,22.0,1788.0,447.0,639.0,373.0,22.0,2.75,6.0,0.0,55.0,13.75,17.0,10.4,207.0,51.75,75.0,35.0
26597,103887,4038938,Dillon Mitchell,Oregon,119.0,39.666666666666664,75.0,2.0,1710.0,570.0,1184.0,9.0,28.0,5.6,10.0,0.0,32.6,10.866666666666667,15.8,4.5,140.0,46.666666666666664,67.0,6.0
26958,103599,3924318,Emanuel Hall,Missouri,97.0,24.25,37.0,8.0,2016.0,504.0,828.0,64.0,32.0,4.571428571428571,8.0,0.0,71.4,17.85,24.8,8.0,193.0,48.25,67.0,14.0
27208,103757,3917546,Penny Hart,Georgia State,202.0,50.5,74.0,8.0,2950.0,737.5,1121.0,61.0,38.0,4.75,8.0,1.0,51.900000000000006,12.975000000000001,15.5,7.6,208.0,52.0,70.0,24.0
27352,103893,3915399,Preston Williams,Colorado State,112.0,37.333333333333336,96.0,7.0,1592.0,530.6666666666666,1345.0,89.0,32.0,6.4,14.0,0.0,46.5,15.5,22.6,9.9,137.0,45.666666666666664,69.0,19.0
27426,103562,4049301,Anthony Johnson,Buffalo,133.0,66.5,76.0,57.0,2367.0,1183.5,1356.0,1011.0,50.0,12.5,14.0,11.0,35.5,17.75,17.8,17.7,144.0,72.0,75.0,69.0
27951,103880,4043161,Antoine Wesley,Texas Tech,98.0,49.0,88.0,10.0,1547.0,773.5,1410.0,137.0,18.0,6.0,9.0,0.0,29.7,14.85,16.0,13.7,101.0,50.5,66.0,35.0
28142,103741,3916418,Jaylen Smith,Louisville,152.0,38.0,60.0,27.0,2505.0,626.25,980.0,376.0,30.0,3.75,7.0,1.0,66.8,16.7,22.2,13.0,246.0,61.5,75.0,42.0
28656,103896,3843603,Jazz Ferguson,Northwestern State,68.0,34.0,66.0,2.0,1134.0,567.0,1117.0,17.0,26.0,8.666666666666666,13.0,0.0,25.4,12.7,16.9,8.5,81.0,40.5,71.0,10.0
28702,103581,3921571,Nyqwan Murray,Florida State,127.0,31.75,54.0,6.0,1854.0,463.5,744.0,65.0,24.0,3.4285714285714284,5.0,0.0,56.0,14.0,16.3,10.8,233.0,58.25,92.0,32.0
28985,103737,3916433,Jakobi Meyers,NC State,168.0,56.0,92.0,13.0,1932.0,644.0,1047.0,158.0,18.0,3.6,5.0,0.0,35.1,11.700000000000001,12.2,11.4,142.0,47.333333333333336,71.0,32.0
29202,103865,4037235,Greg Dortch,Wake Forest,142.0,71.0,89.0,53.0,1800.0,900.0,1078.0,722.0,34.0,8.5,9.0,8.0,25.7,12.85,13.6,12.1,106.0,53.0,54.0,52.0
29340,103732,3929817,Felton Davis III,Michigan State,100.0,25.0,55.0,2.0,1450.0,362.5,776.0,50.0,28.0,4.0,9.0,0.0,66.9,16.725,25.0,12.5,142.0,35.5,49.0,28.0
29488,103762,3121110,Alex Wesley,Northern Colorado,57.0,57.0,57.0,57.0,1049.0,1049.0,1049.0,1049.0,21.0,4.2,6.0,2.0,18.4,18.4,18.4,18.4,62.0,62.0,62.0,62.0
29723,103638,3871102,David Sills V,West Virginia,132.0,44.0,65.0,7.0,2097.0,699.0,986.0,131.0,70.0,11.666666666666666,18.0,2.0,50.2,16.733333333333334,18.7,15.2,175.0,58.333333333333336,75.0,35.0
29895,103693,3123074,Tyre Brady,Marshall,142.0,47.333333333333336,71.0,9.0,2056.0,685.3333333333334,1002.0,112.0,36.0,6.0,9.0,1.0,41.7,13.9,15.2,12.4,160.0,53.333333333333336,76.0,34.0
30138,103859,4039057,Lil'Jordan Humphrey,Texas,125.0,41.666666666666664,86.0,2.0,1622.0,540.6666666666666,1176.0,15.0,20.0,4.0,9.0,0.0,32.8,10.933333333333332,13.7,7.5,97.0,32.333333333333336,47.0,8.0
30264,103773,3120980,Keelan Doss,UC Davis,118.0,118.0,118.0,118.0,1345.0,1345.0,1345.0,1345.0,37.0,7.4,10.0,2.0,11.4,11.4,11.4,11.4,43.0,43.0,43.0,43.0
30982,103877,3121413,Johnnie Dixon,Ohio State,67.0,16.75,42.0,1.0,1146.0,286.5,669.0,26.0,32.0,4.571428571428571,8.0,0.0,72.6,18.15,29.0,4.3,172.0,43.0,70.0,10.0
31075,103916,3930064,Damarkus Lodge,Ole Miss,122.0,30.5,65.0,1.0,1790.0,447.5,877.0,12.0,28.0,3.5,7.0,1.0,56.0,14.0,17.0,12.0,190.0,47.5,72.0,12.0
31385,103603,3699902,Stanley Morgan Jr.,Nebraska,189.0,47.25,70.0,25.0,2747.0,686.75,1004.0,304.0,44.0,5.5,10.0,2.0,56.39999999999999,14.099999999999998,16.2,12.2,252.0,63.0,80.0,33.0
31564,102266,3126115,Cody Thompson,Toledo,181.0,36.2,64.0,4.0,3312.0,662.4,1269.0,34.0,60.0,6.666666666666667,11.0,0.0,83.3,16.66,22.3,8.5,300.0,60.0,88.0,15.0
31832,103780,3916946,Ryan Davis,Auburn,178.0,59.333333333333336,84.0,25.0,1555.0,518.3333333333334,815.0,194.0,14.0,2.3333333333333335,5.0,1.0,25.4,8.466666666666667,9.7,7.8,145.0,48.333333333333336,75.0,23.0
32318,103872,3895828,Anthony Ratliff-Williams,North Carolina,80.0,26.666666666666668,42.0,3.0,1340.0,446.6666666666667,689.0,21.0,16.0,3.2,6.0,0.0,41.4,13.799999999999999,18.0,7.0,116.0,38.666666666666664,51.0,14.0
32737,103919,3929118,Jeff Smith,Boston College,72.0,24.0,27.0,20.0,1078.0,359.3333333333333,395.0,296.0,18.0,2.5714285714285716,6.0,0.0,45.8,15.266666666666666,19.4,11.8,162.0,54.0,71.0,33.0
