,draft_year,player_id,player_name,position,pos_abbr,school_x,school_name,school_abbr,link,pick,overall,round,traded,trade_note,team,team_abbr,team_logo_espn,guid,weight,height,pos_rk,ovr_rk,grade,player_image,Year,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,Unnamed: 0,alt_player_id,school_y,Total Receptions,Mean Receptions,Highest Receptions,Lowest Receptions,Total Receiving Yards,Mean Receiving Yards,Highest Receiving Yards,Lowest Receiving Yards,Total Receiving Touchdowns,Mean Receiving Touchdowns,Highest Receiving Touchdowns,Lowest Receiving Touchdowns,Total Yards Per Reception,Mean Yards Per Reception,Highest Yards Per Reception,Lowest Yards Per Reception,Total Long Reception,Mean Long Reception,Highest Long Reception,Lowest Long Reception
0,2016,50130,Michael Thomas,Wide Receiver,WR,Southern Mississippi,Golden Eagles,USM,http://insider.espn.com/nfl/draft/player/_/id/50130,31.0,206.0,6.0,True,From CAR through CHI,Los Angeles Rams,LAR,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lar.png,e6e86befe21f32fe53057d6fe0389b99,193.0,73.0,49.0,324.0,33.0,,2016.0,Ohio State,WR,74.75,212.0,10.5,32.13,,4.57,18.0,35.0,126.0,4.13,6.8,11.7,724,3123986,Southern Mississippi,112.0,56.0,71.0,41.0,1983.0,991.5,1391.0,592.0,38.0,9.5,14.0,5.0,34.0,17.0,19.6,14.4,113.0,56.5,69.0,44.0
1,2016,50142,Hunter Sharp,Wide Receiver,WR,Utah State,Aggies,USU,http://insider.espn.com/nfl/draft/player/_/id/50142,,,,,,,,,57a1850290ca374b687265475f4baa7e,198.0,71.5,29.0,206.0,51.0,,2016.0,Utah State,WR,71.5,198.0,9.38,31.63,,4.58,12.0,32.5,116.0,4.19,7.12,11.4,770,3125354,Utah State,137.0,68.5,71.0,66.0,1774.0,887.0,939.0,835.0,32.0,8.0,9.0,7.0,26.0,13.0,14.2,11.8,130.0,65.0,81.0,49.0
2,2016,50446,Roger Lewis,Wide Receiver,WR,Bowling Green,Falcons,BGSU,http://insider.espn.com/nfl/draft/player/_/id/50446,,,,,,,,,af9aa5a165c5e28a4bee1b9fdcb59004,201.0,72.375,36.0,239.0,46.0,,2016.0,Bowling Green (OH),WR,72.38,201.0,9.75,32.0,,4.57,8.0,33.5,116.0,4.49,7.69,,844,3125745,Bowling Green,158.0,79.0,85.0,73.0,2637.0,1318.5,1544.0,1093.0,46.0,11.5,16.0,7.0,33.2,16.6,18.2,15.0,176.0,88.0,94.0,82.0
3,2017,51813,Curtis Samuel,Wide Receiver,WR,Ohio State,Buckeyes,OSU,http://insider.espn.com/nfl/draft/player/_/id/51813,8.0,40.0,2.0,False,,Carolina Panthers,CAR,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/car.png,9530e5bc72538404dcc6f086968f3f93,196.0,71.0,5.0,42.0,86.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51813.png,2017.0,Ohio State,WR,71.0,196.0,9.5,31.25,22.0,4.31,18.0,37.0,119.0,4.33,7.09,,1782,3121427,Ohio State,107.0,35.666666666666664,74.0,11.0,1249.0,416.3333333333333,865.0,95.0,18.0,3.0,7.0,0.0,33.4,11.133333333333333,13.1,8.6,149.0,49.66666666666666,79.0,30.0
4,2017,51581,JuJu Smith-Schuster,Wide Receiver,WR,USC,Trojans,USC,http://insider.espn.com/nfl/draft/player/_/id/51581,30.0,62.0,2.0,False,,Pittsburgh Steelers,PIT,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/pit.png,c388f414394fc68aba24be496c43eb28,215.0,73.0,6.0,51.0,83.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51581.png,2017.0,Southern California,WR,73.25,215.0,10.5,32.88,,4.54,15.0,32.5,120.0,5.01,7.04,,2336,3120348,USC,213.0,71.0,89.0,54.0,3092.0,1030.6666666666667,1454.0,724.0,50.0,8.333333333333334,10.0,5.0,42.8,14.266666666666667,16.3,13.1,195.0,65.0,75.0,53.0
5,2017,51796,Chris Godwin,Wide Receiver,WR,Penn State,Nittany Lions,PSU,http://insider.espn.com/nfl/draft/player/_/id/51796,20.0,84.0,3.0,False,,Tampa Bay Buccaneers,TB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/tb.png,20e1bec6fb6a9ab192e0c13eff7a7d42,209.0,73.0,11.0,106.0,72.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51796.png,2017.0,Penn State,WR,73.0,209.0,9.13,31.625,,4.42,19.0,36.0,125.0,4.0,7.01,,2474,3116165,Penn State,154.0,51.333333333333336,69.0,26.0,2421.0,807.0,1101.0,338.0,36.0,6.0,11.0,2.0,45.6,15.2,16.6,13.0,200.0,66.66666666666667,72.0,56.0
6,2017,51802,Isaiah McKenzie,Wide Receiver,WR,Georgia,Bulldogs,UGA,http://insider.espn.com/nfl/draft/player/_/id/51802,29.0,172.0,5.0,True,From GB,Denver Broncos,DEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,8c65f999fc9f9613a6db05c1de1bf02d,173.0,68.0,20.0,152.0,60.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51802.png,2017.0,Georgia,WR,67.25,173.0,8.88,28.875,,4.42,11.0,36.0,123.0,4.15,6.64,,3167,3128724,Georgia,60.0,20.0,44.0,6.0,823.0,274.3333333333333,633.0,67.0,14.0,2.333333333333333,7.0,0.0,37.9,12.633333333333333,14.4,11.2,143.0,47.66666666666666,77.0,30.0
7,2017,51709,Isaiah Ford,Wide Receiver,WR,Virginia Tech,Hokies,VT,http://insider.espn.com/nfl/draft/player/_/id/51709,19.0,237.0,7.0,True,From TB,Miami Dolphins,MIA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png,9aff9258bc11da4fa4bea5dd9042b078,194.0,73.0,35.0,218.0,47.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51709.png,2017.0,Virginia Tech,WR,73.25,194.0,9.25,32.63,,4.61,14.0,35.5,127.0,4.34,6.94,,3404,3124069,Virginia Tech,210.0,70.0,79.0,56.0,2967.0,989.0,1164.0,709.0,48.0,8.0,11.0,6.0,42.0,14.0,15.5,12.7,161.0,53.66666666666666,75.0,33.0
8,2017,51798,Noah Brown,Wide Receiver,WR,Ohio State,Buckeyes,OSU,http://insider.espn.com/nfl/draft/player/_/id/51798,21.0,239.0,7.0,True,From DET through NE,Dallas Cowboys,DAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/dal.png,03b90b76cd10345020c938815331d6bb,222.0,74.0,36.0,226.0,46.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51798.png,2017.0,Ohio State,WR,74.0,222.0,9.13,31.75,,4.6,19.0,,,4.33,7.07,,3538,3121409,Ohio State,33.0,16.5,32.0,1.0,411.0,205.5,402.0,9.0,14.0,4.666666666666667,7.0,0.0,21.6,10.8,12.6,9.0,46.0,23.0,37.0,9.0
9,2017,51673,KD Cannon,Wide Receiver,WR,Baylor,Bears,BAY,http://insider.espn.com/nfl/draft/player/_/id/51673,,,,,,,,,94b5b8ee0f7e51a0f0513a5d776ce67a,182.0,71.0,16.0,124.0,68.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51673.png,2017.0,Baylor,WR,71.13,182.0,8.88,30.75,,4.41,13.0,37.0,119.0,4.2,7.21,,3722,3128348,Baylor,195.0,65.0,87.0,50.0,3113.0,1037.6666666666667,1215.0,868.0,54.0,9.0,13.0,6.0,49.2,16.400000000000002,17.8,14.0,228.0,76.0,89.0,68.0
