,player_id,alt_player_id,player_name,school,Total Total Tackles,Mean Total Tackles,Highest Total Tackles,Lowest Total Tackles,Total Solo Tackles,Mean Solo Tackles,Highest Solo Tackles,Lowest Solo Tackles,Total Assist Tackles,Mean Assist Tackles,Highest Assist Tackles,Lowest Assist Tackles,Total Passes Defended,Mean Passes Defended,Highest Passes Defended,Lowest Passes Defended,Total Sacks,Mean Sacks,Highest Sacks,Lowest Sacks,Total Forced Fumbles,Mean Forced Fumbles,Highest Forced Fumbles,Lowest Forced Fumbles,Total Interceptions,Mean Interceptions,Highest Interceptions,Lowest Interceptions,Total Interception Yards,Mean Interception Yards,Highest Interception Yards,Lowest Interception Yards,Total Interception Touchdowns,Mean Interception Touchdowns,Highest Interception Touchdowns,Lowest Interception Touchdowns
461,46880,3125961,Quinten Rollins,Miami (OH),73.0,73.0,73.0,73.0,54.0,54.0,54.0,54.0,19.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,35.0,35.0,35.0,35.0,1.0,1.0,1.0,1.0
1249,52107,3121421,Marshon Lattimore,Ohio State,45.0,22.5,41.0,4.0,34.0,17.0,30.0,4.0,11.0,5.5,11.0,0.0,9.0,4.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,61.0,30.5,61.0,0.0,1.0,0.5,1.0,0.0
1356,52108,3121415,Malik Hooker,Ohio State,84.0,42.0,74.0,10.0,49.0,24.5,43.0,6.0,35.0,17.5,31.0,4.0,4.0,2.0,4.0,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.0,7.0,3.5,7.0,0.0,181.0,90.5,181.0,0.0,3.0,1.5,3.0,0.0
1383,51719,3126356,Marlon Humphrey,Alabama,81.0,40.5,45.0,36.0,61.0,30.5,35.0,26.0,20.0,10.0,10.0,10.0,5.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,2.0,1.0,5.0,2.5,3.0,2.0,46.0,23.0,28.0,18.0,1.0,0.5,1.0,0.0
1410,51594,3120347,Adoree' Jackson,USC,140.0,46.666666666666664,55.0,35.0,115.0,38.333333333333336,46.0,23.0,25.0,8.333333333333334,12.0,4.0,11.0,3.6666666666666665,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,1.0,0.0,6.0,2.0,5.0,0.0,67.0,22.333333333333332,46.0,0.0,1.0,0.3333333333333333,1.0,0.0
1521,51604,3115962,Jabrill Peppers,Michigan,125.0,41.666666666666664,72.0,8.0,87.0,29.0,47.0,6.0,38.0,12.666666666666666,25.0,2.0,1.0,0.3333333333333333,1.0,0.0,4.0,1.3333333333333333,4.0,0.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.25,1.0,0.0,11.0,3.6666666666666665,11.0,0.0,0.0,0.0,0.0,0.0
1741,52098,3127287,Budda Baker,Washington,199.0,66.33333333333333,80.0,49.0,137.0,45.666666666666664,57.0,32.0,62.0,20.666666666666668,23.0,17.0,5.0,1.6666666666666667,5.0,0.0,4.0,1.3333333333333333,3.0,0.0,3.0,1.0,2.0,0.0,5.0,1.6666666666666667,2.0,1.0,62.0,20.666666666666668,44.0,0.0,0.0,0.0,0.0,0.0
1977,52113,3122882,Marcus Williams,Utah,188.0,62.666666666666664,65.0,59.0,125.0,41.666666666666664,46.0,36.0,63.0,21.0,29.0,16.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.3333333333333333,2.0,0.0,11.0,3.6666666666666665,5.0,1.0,114.0,38.0,88.0,6.0,0.0,0.0,0.0,0.0
2004,51720,3127299,Sidney Jones,Washington,146.0,48.666666666666664,61.0,39.0,105.0,35.0,47.0,27.0,41.0,13.666666666666666,15.0,12.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,2.3333333333333335,4.0,1.0,9.0,3.0,4.0,2.0,147.0,49.0,125.0,0.0,1.0,0.3333333333333333,1.0,0.0
2092,52097,3121660,Quincy Wilson,Florida,82.0,27.333333333333332,33.0,22.0,49.0,16.333333333333332,18.0,15.0,33.0,11.0,15.0,6.0,6.0,2.0,6.0,0.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,1.0,0.0,6.0,2.0,3.0,1.0,93.0,31.0,80.0,0.0,1.0,0.3333333333333333,1.0,0.0
