,draft_year,player_id,player_name,position,pos_abbr,school_x,school_name,school_abbr,link,pick,overall,round,traded,trade_note,team,team_abbr,team_logo_espn,guid,weight,height,pos_rk,ovr_rk,grade,player_image,Year,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Unnamed: 0,alt_player_id,school_y,Total Total Tackles,Mean Total Tackles,Highest Total Tackles,Lowest Total Tackles,Total Solo Tackles,Mean Solo Tackles,Highest Solo Tackles,Lowest Solo Tackles,Total Assist Tackles,Mean Assist Tackles,Highest Assist Tackles,Lowest Assist Tackles,Total Passes Defended,Mean Passes Defended,Highest Passes Defended,Lowest Passes Defended,Total Sacks,Mean Sacks,Highest Sacks,Lowest Sacks,Total Forced Fumbles,Mean Forced Fumbles,Highest Forced Fumbles,Lowest Forced Fumbles,Total Interceptions,Mean Interceptions,Highest Interceptions,Lowest Interceptions,Total Interception Yards,Mean Interception Yards,Highest Interception Yards,Lowest Interception Yards,Total Interception Touchdowns,Mean Interception Touchdowns,Highest Interception Touchdowns,Lowest Interception Touchdowns
0,2015,46880,Quinten Rollins,Cornerback,CB,Miami (OH),RedHawks,M-OH,http://insider.espn.com/nfl/draft/player/_/id/46880,30.0,62.0,2.0,False,,Green Bay Packers,GB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/gb.png,2fb971efa4aa202cdd6bd21fc50880d1,195.0,71.0,10.0,71.0,77.0,,2015,Miami (OH),CB,71.13,195,,4.57,14.0,36.5,122.0,4.28,7.1,461,3125961,Miami (OH),73.0,73.0,73.0,73.0,54.0,54.0,54.0,54.0,19.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,35.0,35.0,35.0,35.0,1.0,1.0,1.0,1.0
1,2017,52107,Marshon Lattimore,Cornerback,CB,Ohio State,Buckeyes,OSU,http://insider.espn.com/nfl/draft/player/_/id/52107,11.0,11.0,1.0,False,,New Orleans Saints,NO,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/no.png,fe828712b9a1f62889e62938a6362a4a,193.0,72.0,1.0,6.0,92.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/52107.png,2017,Ohio State,CB,72.0,193,23.0,4.36,,38.5,132.0,4.12,,1249,3121421,Ohio State,45.0,22.5,41.0,4.0,34.0,17.0,30.0,4.0,11.0,5.5,11.0,0.0,9.0,4.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,61.0,30.5,61.0,0.0,1.0,0.5,1.0,0.0
2,2017,52108,Malik Hooker,Safety,S,Ohio State,Buckeyes,OSU,http://insider.espn.com/nfl/draft/player/_/id/52108,15.0,15.0,1.0,False,,Indianapolis Colts,IND,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ind.png,4dc575d861a09b1c943a386e16d49ffd,206.0,73.0,2.0,10.0,92.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/52108.png,2017,Ohio State,FS,73.38,206,17.0,,,,,,,1356,3121415,Ohio State,84.0,42.0,74.0,10.0,49.0,24.5,43.0,6.0,35.0,17.5,31.0,4.0,4.0,2.0,4.0,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.0,7.0,3.5,7.0,0.0,181.0,90.5,181.0,0.0,3.0,1.5,3.0,0.0
3,2017,51719,Marlon Humphrey,Cornerback,CB,Alabama,Crimson Tide,ALA,http://insider.espn.com/nfl/draft/player/_/id/51719,16.0,16.0,1.0,False,,Baltimore Ravens,BAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/bal.png,c840224c32fa6d92e3b8827a24c49703,197.0,72.0,3.0,23.0,89.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51719.png,2017,Alabama,CB,72.25,197,20.0,4.41,10.0,,125.0,4.28,6.75,1383,3126356,Alabama,81.0,40.5,45.0,36.0,61.0,30.5,35.0,26.0,20.0,10.0,10.0,10.0,5.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,2.0,1.0,5.0,2.5,3.0,2.0,46.0,23.0,28.0,18.0,1.0,0.5,1.0,0.0
4,2017,52113,Marcus Williams,Safety,S,Utah,Utes,UTAH,http://insider.espn.com/nfl/draft/player/_/id/52113,10.0,42.0,2.0,False,,New Orleans Saints,NO,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/no.png,6034101a3ac33bed017a5f9b747d850e,202.0,73.0,8.0,52.0,83.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/52113.png,2017,Utah,FS,72.75,202,,4.56,14.0,43.5,128.0,4.2,6.85,1977,3122882,Utah,188.0,62.66666666666666,65.0,59.0,125.0,41.66666666666666,46.0,36.0,63.0,21.0,29.0,16.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.3333333333333333,2.0,0.0,11.0,3.6666666666666665,5.0,1.0,114.0,38.0,88.0,6.0,0.0,0.0,0.0,0.0
5,2017,51720,Sidney Jones,Cornerback,CB,Washington,Huskies,WASH,http://insider.espn.com/nfl/draft/player/_/id/51720,11.0,43.0,2.0,False,,Philadelphia Eagles,PHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png,8d6be2c0abd84c7b9c2bf29db9a3d757,186.0,72.0,10.0,65.0,79.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51720.png,2017,Washington,CB,71.75,186,,4.47,12.0,33.5,123.0,4.28,7.02,2004,3127299,Washington,146.0,48.66666666666666,61.0,39.0,105.0,35.0,47.0,27.0,41.0,13.666666666666666,15.0,12.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,2.333333333333333,4.0,1.0,9.0,3.0,4.0,2.0,147.0,49.0,125.0,0.0,1.0,0.3333333333333333,1.0,0.0
6,2017,52097,Quincy Wilson,Cornerback,CB,Florida,Gators,FLA,http://insider.espn.com/nfl/draft/player/_/id/52097,14.0,46.0,2.0,False,,Indianapolis Colts,IND,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ind.png,2d40b02c551c803823a9f1263ccee0da,211.0,74.0,6.0,31.0,88.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/52097.png,2017,Florida,CB,72.63,211,,4.54,14.0,32.0,116.0,4.02,6.86,2092,3121660,Florida,82.0,27.33333333333333,33.0,22.0,49.0,16.333333333333332,18.0,15.0,33.0,11.0,15.0,6.0,6.0,2.0,6.0,0.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,1.0,0.0,6.0,2.0,3.0,1.0,93.0,31.0,80.0,0.0,1.0,0.3333333333333333,1.0,0.0
7,2017,51605,Justin Evans,Safety,S,Texas A&M,Aggies,TA&M,http://insider.espn.com/nfl/draft/player/_/id/51605,18.0,50.0,2.0,False,,Tampa Bay Buccaneers,TB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/tb.png,6767961c45ae42799002f76a8331d302,199.0,72.0,9.0,92.0,74.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51605.png,2017,Texas A&M,SS,72.0,199,25.0,4.6,14.0,41.5,129.0,,,2203,3895859,Texas A&M,165.0,82.5,87.0,78.0,99.0,49.5,52.0,47.0,66.0,33.0,35.0,31.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2017,51977,Ahkello Witherspoon,Cornerback,CB,Colorado,Buffaloes,COLO,http://insider.espn.com/nfl/draft/player/_/id/51977,2.0,66.0,3.0,False,,San Francisco 49ers,SF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sf.png,72d6ef73c6892b53d898fe42c0ed8ceb,198.0,75.0,14.0,85.0,74.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51977.png,2017,Colorado,CB,74.75,198,,4.45,,40.5,126.0,4.13,6.93,2447,3122630,Colorado,71.0,23.666666666666668,36.0,12.0,60.0,20.0,34.0,7.0,11.0,3.6666666666666665,5.0,2.0,19.0,6.333333333333333,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2017,51817,Rasul Douglas,Cornerback,CB,West Virginia,Mountaineers,WVU,http://insider.espn.com/nfl/draft/player/_/id/51817,35.0,99.0,3.0,False,Compensatory,Philadelphia Eagles,PHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png,a4c346e67f33bc3533be4bfc3a353890,209.0,74.0,16.0,105.0,72.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51817.png,2017,West Virginia,CB,74.0,209,,4.59,16.0,33.5,120.0,4.26,6.97,2619,3943270,West Virginia,78.0,39.0,70.0,8.0,55.0,27.5,49.0,6.0,23.0,11.5,21.0,2.0,8.0,4.0,8.0,0.0,1.0,0.5,1.0,0.0,2.0,1.0,1.0,1.0,9.0,4.5,8.0,1.0,101.0,50.5,101.0,0.0,1.0,0.5,1.0,0.0
