Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2022,Jack Coan,Notre Dame,QB,75.25,218,9.5,31.13,,4.9,,33,115,4.39,6.95,
2022,Matt Corral,Mississippi,QB,73.63,212,9.63,30.75,,,,,,,,
2022,Dustin Crum,Kent State (OH),QB,73,210,9.38,31.75,,4.75,,32.5,120,4.36,,
2022,Kaleb Eleby,Western Michigan,QB,72.75,208,9.25,30.63,,,,25.5,111,,7.57,
2022,Sam Howell,North Carolina,QB,72.63,218,9.13,30.75,,,,,,,,
2022,Cole Kelley,Southeastern Louisiana,QB,79.38,249,9.88,33.75,,,,,,,,
2022,EJ Perry,Brown (RI),QB,73.63,211,9,32,,4.65,,34.5,123,4.18,6.85,
2022,Kenny Pickett,Pittsburgh,QB,75.25,217,8.5,30.88,,4.73,,33.5,121,4.29,,
2022,Brock Purdy,Iowa State,QB,72.63,212,9.25,29,,4.84,,27,,4.45,7.21,
2022,Desmond Ridder,Cincinnati,QB,75.38,211,10,32.75,,4.52,,36,127,4.29,7.15,
2022,Carson Strong,Nevada,QB,75.38,226,9.13,32,,,,,,,,
2022,Skylar Thompson,Kansas State,QB,73.88,217,8.63,31,,4.91,,31,112,4.28,7,
2022,Malik Willis,Liberty (VA),QB,72.5,219,9.5,31.75,,,,,,,,
2022,Bailey Zappe,Western Kentucky,QB,72.5,215,9.75,31.38,,4.88,,30,109,4.4,7.19,
2021,Ian Book,Notre Dame,QB,72,211,9.875,31.25,,4.7,,31,114,4.22,7.05,
2021,Shane Buechele,Southern Methodist (TX),QB,72.25,210,9.375,30.25,,5.01,,28.5,113,4.62,7.39,
2021,K.J. Costello,Mississippi State,QB,76.5,225,10.125,32.875,,5.16,,26,102,4.77,,
2021,Sam Ehlinger,Texas,QB,73.13,220,9.75,30.375,,4.89,,35,113,4.46,7.2,
2021,Justin Fields,Ohio State,QB,74.75,227,9.125,32.5,,4.51,,,118,,,
2021,Feleipe Franks,Arkansas,QB,78.63,234,10,34,,4.66,,31,116,4.24,7.21,
2021,Trey Lance,North Dakota State,QB,75.88,224,9.125,31.5,,,,,130,,,
2021,Trevor Lawrence,Clemson,QB,77.63,213,,,,,,37,118,,,
2021,Kellen Mond,Texas A&M,QB,74.63,211,9.375,33.5,,4.67,,,121,,,
2021,Jamie Newman,Wake Forest,QB,74.88,234,9.75,30.5,,,,,113,,,
2021,Peyton Ramsey,Northwestern,QB,73.88,215,9,31.75,,4.82,,26.5,107,4.43,7.33,
2021,Zach Smith,Tulsa (OK),QB,75.38,222,9.375,32.375,,5.28,,28,110,4.54,7.31,
2021,Zac Thomas,Appalachian State (NC),QB,72.63,205,8.75,31.5,,4.64,,28.5,114,4.37,7.13,
2021,Kyle Trask,Florida,QB,77.25,236,10.125,33,,5.13,,30,112,4.4,7.13,
2021,Brady White,Memphis,QB,73,210,10.125,31.5,,4.89,,27.5,117,4.35,7.02,
2021,Zach Wilson,Brigham Young,QB,74.13,214,9.5,30.625,,,,,112,,,
2020,Kelly Bryant,Missouri,QB,75.13,229,9.5,32.25,,4.69,,35,125,4.51,7.33,
2020,Joe Burrow,Louisiana State,QB,75.63,221,9,30.88,,,,,,,,
2020,Kevin Davidson,Princeton,QB,76.13,224,8.25,30.88,,5,,28,109,4.37,7.13,
2020,Jacob Eason,Washington,QB,77.88,231,9.5,32.88,,4.89,,27.5,110,4.75,7.5,
2020,Jake Fromm,Georgia,QB,73.88,219,8.88,31.13,,5.01,,30,111,4.51,7.27,
2020,Anthony Gordon,Washington State,QB,74.38,205,9.75,31,,,,,,,,
2020,Justin Herbert,Oregon,QB,78.25,236,10,32.88,,4.68,,35.5,123,4.46,7.06,
2020,Jalen Hurts,Oklahoma,QB,73,222,9.75,31.75,,4.59,,35,125,,,
2020,Brian Lewerke,Michigan State,QB,74.5,213,10.63,32.13,,4.95,,31,113,4.4,7.14,
2020,Jordan Love,Utah State,QB,75.75,224,10.5,32.63,,4.74,,35.5,118,4.52,7.21,
2020,Jake Luton,Oregon State,QB,78.13,224,10.38,31.75,,5.12,,27,,4.62,7.9,
2020,Cole McDonald,Hawaii,QB,75.13,215,9.75,32.25,,4.58,,36,121,4.52,7.13,
2020,Steven Montez,Colorado,QB,76,231,9.38,32.75,,4.68,,33,117,4.43,7.25,
2020,James Morgan,Florida International,QB,76,229,9.75,33.38,,4.89,,29,112,4.64,7.51,
2020,Shea Patterson,Michigan,QB,73,202,9.38,30.5,,4.71,,31,116,4.5,7.14,
2020,Joe Reed,Virginia,QB,72.5,224,9.75,31.13,,4.47,21,38,123,,,
2020,Nate Stanley,Iowa,QB,75.75,235,10,32.63,,4.81,,28.5,108,4.48,7.26,
2020,Tua Tagovailoa,Alabama,QB,72,217,10,30.5,,,,,,,,
2019,David Blough,Purdue,QB,72.25,200,9.38,29.625,,4.96,,30,106,4.57,7.27,
2019,Jake Browning,Washington,QB,74,211,9,32.5,,4.74,,29,112,4.44,7.19,
2019,K.J. Carta-Samuels,Colorado State,QB,73.5,219,10.25,32,,5,,34,115,4.47,7.32,
2019,Keller Chryst,Tennessee,QB,76.13,239,10.38,33,,4.95,,33.5,113,4.46,7.14,
2019,Taylor Cornelius,Oklahoma State,QB,77.63,224,9.75,32.375,,4.77,,36.5,118,4.35,7.11,
2019,Jacob Dolegala,Central Connecticut,QB,78.63,242,11.13,34.125,,5.09,,30,118,4.59,7.27,
2019,Eric Dungey,Syracuse,QB,74.75,226,9.5,31.75,,4.83,22,30,113,4.52,7.07,
2019,Ryan Finley,North Carolina State,QB,76,213,9.5,32.88,,4.73,,30.5,116,4.2,7.2,
2019,Nick Fitzgerald,Mississippi State,QB,76.63,226,9.75,31.88,,4.64,,29.5,115,4.58,7.47,
2019,Andrew Ford,Massachusetts,QB,73.75,208,9.5,31.75,,,,,,,,
2019,Chase Forrest,California,QB,73.5,202,10,31.375,,4.98,,25.5,,,,
2019,Will Grier,West Virginia,QB,74.5,217,9.38,31.5,,4.84,,34,112,4.28,7.09,
2019,Justice Hansen,Arkansas State,QB,74.88,220,9.25,31.75,,4.99,,28,112,4.67,7.52,
2019,Dwayne Haskins,Ohio State,QB,75.38,231,9.63,33.5,,5.04,,28.5,,,,
2019,Devlin Hodges,Samford (AL),QB,72.38,212,9.25,30.125,,4.84,,30.5,102,4.55,7.43,
2019,Tyree Jackson,Buffalo,QB,79,249,10.25,34.25,,4.59,,34.5,120,4.28,7.09,
2019,Daniel Jones,Duke,QB,77.13,221,9.75,32.5,,4.81,,33.5,120,4.41,7,
2019,Kyle Kempt,Iowa State,QB,76.25,225,9.38,32.375,,4.96,,25.5,112,4.53,7.31,
2019,T.J. Linta,Wagner (NY),QB,75.25,233,9.88,31.25,,5.27,,,,4.7,,
2019,Drew Lock,Missouri,QB,75.75,228,9,32.5,,4.69,,31,112,4.12,7.03,
2019,Tanner Mangum,Brigham Young,QB,74.13,203,8.63,30.625,,4.95,,26.5,109,4.43,7.25,
2019,Jalan McClendon,Baylor,QB,76.5,222,9.75,32.875,,4.87,,30,113,4.42,7.14,
2019,Marcus McMaryion,Frenso State (CA),QB,72.75,206,10,31,,4.81,,33.5,109,4.34,,
2019,Trace McSorley,Penn State,QB,72.13,202,9.13,31,,4.57,,33,115,4.12,7.09,
2019,Gardner Minshew,Washington State,QB,72.88,225,10.13,31.75,,4.97,,33.5,116,4.45,7.14,
2019,Kyler Murray,Oklahoma,QB,70.13,207,9.5,28.5,,,,,,,,
2019,Malik Rosier,Miami (FL),QB,72,224,9.5,31.125,,4.8,,27,102,4.65,7.73,
2019,Brett Rypien,Boise State,QB,73.75,210,9,30.38,,4.91,,33,116,4.29,7.1,
2019,Michael Scarnecchia,South Carolina,QB,75.25,213,8.75,31.375,,4.99,,27.5,113,4.92,7.55,
2019,Kyle Shurmur,Vanderbilt,QB,76,230,8.88,32.75,,4.91,,29.5,106,4.53,7.51,
2019,Wilton Speight,UCLA,QB,78.63,232,9.5,32.375,,4.94,,,,,,
2019,Easton Stick,North Dakota State,QB,73.25,224,9.25,32.13,,4.62,,33.5,118,4.05,6.65,
2019,Jarrett Stidham,Auburn,QB,74.38,218,9.13,32,,4.81,,31,110,4.33,7.28,
2019,Brent Stockstill,Middle Tennessee State,QB,71.63,210,8.38,29.375,,4.84,,23,107,,,
2019,Jordan Ta'amu-Perifanos,Mississippi,QB,74.63,221,9.88,32.25,,4.77,,27.5,109,4.36,7.06,
2019,Clayton Thorson,Northwestern,QB,76,222,9.75,31.13,,,,,,,,
2019,Tyler Wiegers,Eastern Michigan,QB,75,224,9.75,31.25,,5.1,,27.5,104,4.55,7.5,
2019,Manny Wilkins,Arizona State,QB,74,193,9.63,32.25,,4.89,,31.5,118,,,
2018,Austin Allen,Arkansas,QB,72.38,210,9.63,30.63,,4.81,,29.5,112,4.48,7.18,
2018,Josh Allen,Wyoming,QB,76.88,237,10.13,33.25,,4.75,,33.5,119,4.4,6.9,
2018,Kyle Allen,Houston,QB,75.25,210,9.38,29.625,,4.76,,27,112,4.28,,
2018,J.T. Barrett,Ohio State,QB,73.25,224,9.88,32,,4.7,,30,108,4.44,7.38,
2018,Kurt Benkert,Virginia,QB,74.63,218,9.5,31,,4.95,16,31,112,4.33,7.15,
2018,Jeremiah Briscoe,Sam Houston State (TX),QB,75,220,9.13,31.375,,,,,,,,
2018,Max Browne,Pittsburgh,QB,77.13,227,9.75,32.625,,5.15,23,28.5,112,4.59,7.55,
2018,Ryan Burns,Stanford,QB,76.88,245,10,32.125,,4.86,16,34.5,116,4.33,7.32,
2018,Sam Darnold,Southern California,QB,75.38,221,9.38,31,,4.85,,26.5,105,4.4,6.96,
2018,Jesse Ertz,Kansas State,QB,74.5,209,9.13,31.25,,,,,,,,
2018,Danny Etling,Louisiana State,QB,74.5,222,9.38,31,,4.76,,30.5,114,4.37,7.09,
2018,Luke Falk,Washington State,QB,75.63,215,9.25,32,,,,26.5,103,,,
2018,Riley Ferguson,Memphis,QB,74.75,212,9.63,30.88,,4.98,,29,110,4.4,6.96,
2018,Quinton Flowers,South Florida,QB,70.38,214,9.75,30.88,,4.63,,,112,4.57,6.81,
2018,Kenny Hill,Texas Christian,QB,73.88,209,9.75,31.125,,4.83,,,,,,
2018,Lamar Jackson,Louisville,QB,74.25,216,9.5,33.13,,,,,,,,
2018,Chad Kanoff,Princeton,QB,76,219,10.25,33.75,,5.08,,31,110,,,
2018,DeVante Kincade,Grambling State (LA),QB,71.38,198,8.75,32,,4.7,,29.5,110,4.39,7.61,
2018,Richard Lagow,Indiana,QB,77,219,9.25,32.625,,5.07,,,,4.76,7.68,
2018,Kyle Lauletta,Richmond (VA),QB,74.63,222,9.75,30.63,,4.81,,31,113,4.07,6.95,
2018,Tanner Lee,Nebraska,QB,76.25,218,10.5,32.5,,4.98,,32,115,4.41,7,
2018,Chase Litton,Marshall (WV),QB,77,230,9.38,32.25,,4.9,,29.5,106,4.53,7.49,
2018,Baker Mayfield,Oklahoma,QB,72.63,215,9.25,30.25,,4.84,,29,111,4.28,7,
2018,Alex McGough,Florida International,QB,75.38,214,9.13,31.25,,4.67,,31,111,4.52,7.32,
2018,Shane Morris,Central Michigan,QB,75,206,9.75,31.25,,4.89,,30,107,4.6,7.38,
2018,Brogan Roback,Eastern Michigan,QB,74.88,213,9.75,30,,5.08,,28.5,112,4.47,7.55,
2018,Josh Rosen,UCLA,QB,76,226,9.88,31.75,,4.92,,31,111,4.28,7.09,
2018,Mason Rudolph,Oklahoma State,QB,76.63,235,9.13,32.38,,4.9,,26,106,4.58,,
2018,Nic Shimonek,Texas Tech,QB,75,220,9.25,30.75,,4.88,,28.5,101,4.32,7.28,
2018,Brandon Silvers,Troy (AL),QB,74.5,220,9.13,29.5,,5.11,,26.5,102,4.8,7.73,
2018,Nick Stevens,Colorado State,QB,75.38,208,9.88,30.5,,5.17,,21,96,4.79,7.75,
2018,Chris Streveler,South Dakota,QB,73.63,209,8.5,31.375,,4.56,,37,124,4.75,7.4,
2018,Mike White,Western Kentucky,QB,76.63,224,9.5,31.88,,5.09,,27,96,4.4,7.4,
2018,John Wolford,Wake Forest,QB,71.5,205,9.63,29.125,,4.82,,29.5,108,4.2,6.83,
2018,Logan Woodside,Toledo,QB,73.25,213,9.75,31,,4.79,,31.5,103,4.15,6.94,
2017,Austin Appleby,Florida,QB,76.13,230,9.38,32,,4.91,,28.5,112,4.42,7.18,
2017,C.J. Beathard,Iowa,QB,74.13,219,9.38,30.63,26,,,31,113,4.25,7,
2017,Joshua Dobbs,Tennessee,QB,75.25,216,9.25,32.63,29,4.64,,33,122,4.31,6.75,
2017,Dane Evans,Tulsa (OK),QB,72.38,210,9.75,30.875,,5.1,,29.5,114,4.43,7.27,
2017,Jerod Evans,Virginia Tech,QB,74.63,232,9.38,33.13,21,4.8,,26.5,112,4.41,,
2017,Perry Hills,Maryland,QB,74.25,209,9,32.25,,4.74,,30.5,112,4.4,7.14,
2017,Justin Holman,Central Florida,QB,75.88,215,9.75,31.5,,4.76,,34,109,4.23,7.24,
2017,Bart Houston,Wisconsin,QB,75,234,9.38,31.75,,5.17,,27.5,105,4.46,7.05,
2017,Jeremy Johnson,Auburn,QB,76.25,232,9.38,33.25,,4.8,,30,113,4.48,7.12,
2017,Brad Kaaya,Miami (FL),QB,75.75,214,9.75,32,34,,,,,,,
2017,Chad Kelly,Mississippi,QB,73.75,224,9.13,32,22,,,,,4.08,,
2017,Gunner Kiel,Cincinnati,QB,75.25,211,9.5,31.5,,4.89,,33.5,116,4.55,7.52,
2017,DeShone Kizer,Notre Dame,QB,76.13,233,9.88,33.13,28,4.83,,30.5,107,4.53,7.4,
2017,Trevor Knight,Texas A&M,QB,72.75,219,9.88,30.625,,4.54,,35.5,124,4.14,7.04,
2017,Mitch Leidner,Minnesota,QB,75.38,226,10,33.75,,4.93,,34.5,123,4.25,6.96,
2017,Sefo Liufau,Colorado,QB,75.38,232,10.75,33.5,,5.08,,27,105,4.45,7.32,
2017,Wes Lunt,Illinois,QB,76.25,222,9.25,32,,4.92,,28,108,4.46,7.33,
2017,Sean Maguire,Florida State,QB,73.88,219,8.88,30.875,,5.29,,22.5,98,4.68,7.58,
2017,Patrick Mahomes,Texas Tech,QB,74.13,225,9.25,33.25,24,4.8,,30,114,4.08,6.88,
2017,Nick Mullens,Southern Mississippi,QB,72.88,214,9.13,30.25,,4.95,,29.5,103,4.49,7.45,
2017,Philip Nelson,East Carolina (NC),QB,73.38,203,9.38,30.875,,4.85,,34,114,4.44,7.13,
2017,Nathan Peterman,Pittsburgh,QB,74.63,226,9.88,32,33,4.82,,31,110,4.31,7.14,
2017,Antonio Pipkin,Tiffin (OH),QB,72.88,225,10,32.25,,4.71,,35,115,4.27,7.12,
2017,Cooper Rush,Central Michigan,QB,74.63,228,9.13,32.38,,4.93,,27,105,4.47,7.23,
2017,Seth Russell,Baylor,QB,74.88,213,9.63,32.25,,,,,,,,
2017,Alek Torgersen,Pennsylvania,QB,74.38,230,9.25,32.5,,4.96,,28.5,116,4.31,7.8,
2017,Patrick Towles,Boston College,QB,76.88,241,9.5,32.5,,4.65,,32,119,4.51,7.34,
2017,Mitchell Trubisky,North Carolina,QB,74.13,222,9.5,32,25,4.67,,27.5,116,4.25,6.87,
2017,Phillip Walker,Temple,QB,71.25,214,9.13,31.375,,4.79,,28,110,4.42,6.95,
2017,Deshaun Watson,Clemson,QB,74.13,221,9.75,33,20,4.66,,32.5,119,4.31,6.95,
2017,Davis Webb,California,QB,76.63,229,9.25,33.13,25,4.79,,33,118,4.21,6.92,
2016,Vernon Adams,Oregon,QB,70.88,200,9.13,30.25,,4.83,,29.5,114,4.2,6.82,
2016,Brandon Allen,Arkansas,QB,73.38,217,8.88,31.25,,4.84,,28,110,4.33,7.06,
2016,Trevone Boykin,Texas Christian,QB,72,212,9.38,31.63,,4.77,,32,110,4.4,,
2016,Jacoby Brissett,North Carolina State,QB,75.75,231,9.75,32.25,,4.94,,31,113,4.53,7.17,
2016,Connor Cook,Michigan State,QB,76,217,9.75,33,,4.79,,33,113,4.28,7.21,
2016,Brandon Doughty,Western Kentucky,QB,74.75,213,9.13,32,,5.22,,27,103,4.52,7.49,
2016,Jeff Driskel,Louisiana Tech,QB,76,234,9.75,33.5,,4.56,,32,122,4.25,7.19,
2016,Jared Goff,California,QB,76,215,9,32.75,36,4.82,,27,110,4.47,7.17,
2016,Christian Hackenberg,Penn State,QB,76.38,223,9,32,,4.78,,31,114,4.33,7.04,
2016,Kevin Hogan,Stanford,QB,75.25,218,10.25,32.38,,4.78,,32.5,113,4.31,6.9,
2016,Cardale Jones,Ohio State,QB,77,253,9.75,33.75,,4.81,,36,,,,
2016,Cody Kessler,Southern California,QB,73.25,220,10.88,32.63,,4.89,,29.5,104,4,7.32,
2016,Paxton Lynch,Memphis,QB,78.63,244,10.25,34.25,,4.86,,36,118,4.26,7.14,
2016,Dak Prescott,Mississippi State,QB,74.25,226,10.88,32.25,,4.79,,32.5,116,4.32,7.11,
2016,Jake Rudock,Michigan,QB,75,207,9.63,31.375,,4.93,,27.5,110,4.24,7.14,
2016,Joel Stave,Wisconsin,QB,77.25,236,10.75,33.25,,4.8,,33.5,115,4.33,7.29,
2016,Chance Stewart,Hillsdale (MI),QB,77.25,254,10,33.75,,5.25,11,24.5,99,4.76,7.76,
2016,Nate Sudfeld,Indiana,QB,78.13,234,9.88,34.25,,4.98,,29,105,4.5,7.47,
2016,Carson Wentz,North Dakota State,QB,77.25,237,10,33.25,29,4.77,,30.5,118,4.15,6.86,
2016,Travis Wilson,Utah,QB,79.25,232,9.88,33.25,,4.88,,30,111,4.27,7.1,
2016,Josh Woodrum,Liberty (VA),QB,74.88,231,9.25,31.88,,4.8,,31,116,4.31,6.74,
2015,Bryan Bennett,Southeastern Louisiana,QB,74.25,211,9.5,31,,4.81,,37,125,4.2,7.13,
2015,Chris Bonner,Colorado State-Pueblo,QB,78.25,237,10,33,,5.12,,25.5,100,4.62,7.61,
2015,Anthony Boone,Duke,QB,72.25,231,9.63,31.63,20,5.03,,26.5,100,4.62,7.47,
2015,Brandon Bridge,South Alabama,QB,76.38,229,9.25,34.25,,4.72,,33,110,4.37,7.18,
2015,Terrance Broadway,Louisiana-Lafayette,QB,72.63,223,9.75,33.5,,4.62,,32.5,119,,,
2015,Shane Carden,East Carolina (NC),QB,73.88,218,9.75,33.25,25,4.94,,29.5,104,4.45,7.17,
2015,Rakeem Cato,Marshall (WV),QB,72.13,171,9.5,30.5,,4.7,,32.5,112,,,
2015,Quinn Epperly,Princeton,QB,73.75,218,9.13,30.375,,4.89,,31,111,4.34,7.04,
2015,Cody Fajardo,Nevada,QB,73.5,223,9.5,31.38,31,4.63,,32.5,118,4.1,6.95,
2015,Garrett Grayson,Colorado State,QB,74.5,213,10,30,20,4.84,,32.5,120,4.37,7.02,
2015,Connor Halliday,Washington State,QB,75,196,8.38,31.25,31,4.87,,,,,,
2015,Grant Hedrick,Boise State,QB,71.75,191,8.75,30.375,,4.76,,30,110,4.37,7.11,
2015,Taylor Heinicke,Old Dominion (VA),QB,72.38,211,9.25,29,,4.76,,33.5,122,4.23,7.01,
2015,Brett Hundley,UCLA,QB,75.25,226,10.5,32.13,26,4.63,,36,120,3.98,6.93,
2015,Matt Joeckel,Texas Christian,QB,76,237,,,,4.95,,,,,,
2015,Taylor Kelly,Arizona State,QB,73.5,198,9.75,31.25,,4.84,,29.5,121,4.18,6.85,
2015,Jerry Lovelocke,Prairie View A&M,QB,76.5,248,10.5,34.25,,4.99,10,31.5,113,4.51,7.3,
2015,Andrew Manley,Eastern Illinois,QB,75,225,,,,4.9,,,,,,
2015,Sean Mannion,Oregon State,QB,77.63,229,9,33.5,40,5.14,,31,105,4.39,7.29,
2015,Marcus Mariota,Oregon,QB,75.75,222,9.88,32,,4.52,,36,121,4.11,6.87,
2015,Hutson Mason,Georgia,QB,73.75,207,9.38,31.375,,4.79,,26.5,101,4.43,7.48,
2015,Nick Montana,Tulane (LA),QB,73,207,,,,4.84,,,,,,
2015,Tyler Murphy,Boston College,QB,73.5,210,10,31.375,,4.78,,36.5,124,4.36,7.16,
2015,Mark Myers,John Carroll (OH),QB,76,220,,,,4.92,,,,,,
2015,Gary Nova,Rutgers,QB,73.38,222,8.75,30.5,,4.63,,32.5,114,4.48,7.08,
2015,Bryce Petty,Baylor,QB,74.88,230,10,31.88,31,4.87,,34,121,4.13,6.91,
2015,Kevin Rodgers,Henderson State (AR),QB,74.75,201,9.63,31.875,,5.12,10,30.5,115,4.58,7.53,
2015,Garrett Safron,Sacramento State (CA),QB,72.88,200,9,32,,4.76,,35,126,4.24,6.9,
2015,Jesse Scroggins,Arizona,QB,75,208,,,,4.79,,,,,,
2015,Max Shortell,Jacksonville State (AL),QB,76.75,240,8.5,29.875,,5.04,,25,98,4.48,7.52,
2015,Jameill Showers,Texas-El Paso,QB,73.75,231,9.88,31.25,,4.76,,36.5,120,4.52,7.53,
2015,Trevor Siemian,Northwestern,QB,74.88,210,9.88,30.625,,4.94,,,,,,
2015,Blake Sims,Alabama,QB,71.5,218,9,31.5,,4.57,,30.5,115,,7.2,
2015,Cole Stoudt,Clemson,QB,76.63,218,10,31.75,,4.86,,29.5,116,4.4,7,
2015,Pete Thomas,Louisiana-Monroe,QB,77.25,232,10.88,31.75,,5.06,,28.5,109,4.42,7.3,
2015,Dylan Thompson,South Carolina,QB,73.75,223,9.5,31.75,,4.83,,33.5,112,4.37,7.32,
2015,Bo Wallace,Mississippi,QB,75.63,211,9.38,32.125,,5.08,,,103,,,
2015,Jake Waters,Kansas State,QB,72.88,204,9.25,30.75,,4.85,,,,,,
2015,Ryan Williams,Miami (FL),QB,76.38,220,9,30.75,,5.06,19,40,123,4.18,6.96,11.4
2015,Jameis Winston,Florida State,QB,75.75,231,9.38,32,27,4.97,,28.5,103,4.36,7.16,
2014,Blake Bortles,Central Florida,QB,77,232,9.38,32.88,28,4.93,,32.5,114,4.21,7.08,
2014,Tajh Boyd,Clemson,QB,72.63,222,9.63,30.75,,4.84,,30.5,104,4.23,7.33,
2014,Teddy Bridgewater,Louisville,QB,74.13,214,9.25,33,20,4.84,,30,112,4.2,7.17,
2014,Derek Carr,Frenso State (CA),QB,74.38,214,9.13,31.5,20,4.69,,34.5,110,4.2,,
2014,David Fales,San Jose State,QB,73.63,212,9.25,31.75,,4.99,,28,102,4.5,7.55,
