,draft_year,player_id,player_name,position,pos_abbr,school_x,school_name,school_abbr,link,pick,overall,round,traded,trade_note,team,team_abbr,team_logo_espn,guid,weight,height,pos_rk,ovr_rk,grade,player_image,Year,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,Unnamed: 0,alt_player_id,school_y,Total Rushing Attempts,Mean Rushing Attempts,Highest Rushing Attempts,Lowest Rushing Attempts,Total Rushing Yards,Mean Rushing Yards,Highest Rushing Yards,Lowest Rushing Yards,Total Yards Per Rush Attempt,Mean Yards Per Rush Attempt,Highest Yards Per Rush Attempt,Lowest Yards Per Rush Attempt,Total Rushing Touchdowns,Mean Rushing Touchdowns,Highest Rushing Touchdowns,Lowest Rushing Touchdowns,Total Long Rushing,Mean Long Rushing,Highest Long Rushing,Lowest Long Rushing,Total Receptions,Mean Receptions,Highest Receptions,Lowest Receptions,Total Receiving Yards,Mean Receiving Yards,Highest Receiving Yards,Lowest Receiving Yards,Total Yards Per Reception,Mean Yards Per Reception,Highest Yards Per Reception,Lowest Yards Per Reception,Total Long Reception,Mean Long Reception,Highest Long Reception,Lowest Long Reception,Total Receiving Touchdowns,Mean Receiving Touchdowns,Highest Receiving Touchdowns,Lowest Receiving Touchdowns
0,2016,50029,Devontae Booker,Running Back,RB,Utah,Utes,UTAH,http://insider.espn.com/nfl/draft/player/_/id/50029,38.0,136.0,4.0,False,Compensatory,Denver Broncos,DEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,76cd13cf89731508fe35ce29c52eb14c,219.0,71.0,4.0,85.0,74.0,,2016.0,Utah,RB,70.75,219.0,8.63,31.63,,,22.0,,,,,,594,3122866,Utah,560.0,280.0,292.0,268.0,2773.0,1386.5,1512.0,1261.0,9.9,4.95,5.2,4.7,42.0,10.5,11.0,10.0,138.0,69.0,76.0,62.0,80.0,40.0,43.0,37.0,624.0,312.0,318.0,306.0,15.7,7.85,8.6,7.1,104.0,52.0,61.0,43.0,4.0,1.0,2.0,0.0
1,2017,51575,Christian McCaffrey,Running Back,RB,Stanford,Cardinal,STAN,http://insider.espn.com/nfl/draft/player/_/id/51575,8.0,8.0,1.0,False,,Carolina Panthers,CAR,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/car.png,db08ac19dbd9a7765885de1fe6830bc2,202.0,71.0,2.0,9.0,92.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51575.png,2017.0,Stanford,RB,71.25,202.0,9.0,30.0,21.0,4.48,10.0,37.5,121.0,4.22,6.57,11.03,1060,3117251,Stanford,632.0,210.66666666666663,337.0,42.0,3922.0,1307.3333333333333,2019.0,300.0,19.4,6.466666666666666,7.1,6.0,42.0,7.0,13.0,0.0,197.0,65.66666666666667,90.0,37.0,99.0,33.0,45.0,17.0,1206.0,402.0,645.0,251.0,37.5,12.5,14.8,8.4,183.0,61.0,75.0,52.0,20.0,3.333333333333333,5.0,2.0
2,2017,51658,Dalvin Cook,Running Back,RB,Florida State,Seminoles,FSU,http://insider.espn.com/nfl/draft/player/_/id/51658,9.0,41.0,2.0,True,From CIN,Minnesota Vikings,MIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/min.png,3115fc25071e5cc433d3b04746c5452b,210.0,70.0,3.0,17.0,90.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51658.png,2017.0,Florida State,RB,71.13,210.0,9.25,32.38,,4.49,22.0,30.5,116.0,4.53,7.27,,1893,3116593,Florida State,687.0,229.0,288.0,170.0,4464.0,1488.0,1765.0,1008.0,19.4,6.466666666666666,7.4,5.9,92.0,15.333333333333334,19.0,8.0,213.0,71.0,94.0,44.0,79.0,26.33333333333333,33.0,22.0,935.0,311.6666666666667,488.0,203.0,34.2,11.4,14.8,9.2,125.0,41.66666666666666,59.0,30.0,4.0,0.6666666666666666,1.0,0.0
3,2017,51716,D'Onta Foreman,Running Back,RB,Texas,Longhorns,TEX,http://insider.espn.com/nfl/draft/player/_/id/51716,25.0,89.0,3.0,False,,Houston Texans,HOU,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/hou.png,2fd793f2c8e675545efabb8695f4e178,233.0,72.0,8.0,103.0,73.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51716.png,2017.0,Texas,RB,72.25,233.0,10.13,31.38,,4.49,18.0,32.0,118.0,4.28,7.3,,2544,3125116,Texas,433.0,144.33333333333334,323.0,15.0,2782.0,927.3333333333334,2028.0,73.0,18.4,6.133333333333334,7.2,4.9,40.0,8.0,15.0,0.0,201.0,67.0,93.0,34.0,13.0,4.333333333333333,7.0,1.0,146.0,48.66666666666666,75.0,7.0,30.5,10.166666666666666,12.8,7.0,50.0,16.666666666666668,22.0,7.0,0.0,0.0,0.0,0.0
4,2017,51901,Joe Williams,Running Back,RB,Utah,Utes,UTAH,http://insider.espn.com/nfl/draft/player/_/id/51901,15.0,121.0,4.0,True,From IND,San Francisco 49ers,SF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sf.png,987aa53092fea21a8267d0389564afa1,210.0,71.0,17.0,184.0,54.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51901.png,2017.0,Utah,RB,70.75,210.0,9.38,30.75,,4.41,14.0,35.0,125.0,4.19,7.19,,2778,3912576,Utah,314.0,157.0,210.0,104.0,1884.0,942.0,1407.0,477.0,11.3,5.65,6.7,4.6,26.0,6.5,10.0,3.0,146.0,73.0,82.0,64.0,20.0,10.0,11.0,9.0,191.0,95.5,107.0,84.0,19.5,9.75,11.9,7.6,72.0,36.0,56.0,16.0,0.0,0.0,0.0,0.0
5,2017,51792,Marlon Mack,Running Back,RB,South Florida,Bulls,USF,http://insider.espn.com/nfl/draft/player/_/id/51792,37.0,143.0,4.0,True,Compensatory from SF,Indianapolis Colts,IND,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ind.png,e93b278dcd9446cc6a21aa2fdbe1bdab,213.0,71.0,13.0,148.0,61.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51792.png,2017.0,South Florida,RB,70.75,213.0,9.0,32.0,,4.5,15.0,35.5,125.0,4.22,,11.03,2888,3139605,South Florida,586.0,195.33333333333331,210.0,174.0,3609.0,1203.0,1381.0,1041.0,18.6,6.2,6.8,5.2,64.0,10.666666666666666,15.0,8.0,219.0,73.0,85.0,59.0,65.0,21.666666666666668,28.0,16.0,498.0,166.0,227.0,111.0,22.6,7.533333333333334,8.1,6.9,76.0,25.33333333333333,37.0,19.0,2.0,0.3333333333333333,1.0,0.0
6,2017,51785,Brian Hill,Running Back,RB,Wyoming,Cowboys,WYO,http://insider.espn.com/nfl/draft/player/_/id/51785,12.0,156.0,5.0,True,From BUF,Atlanta Falcons,ATL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/atl.png,dcfe9e1924064b12f2386fad3cea548c,219.0,73.0,18.0,189.0,52.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51785.png,2017.0,Wyoming,RB,72.63,219.0,8.88,31.38,,4.54,15.0,34.0,125.0,4.32,7.03,,2954,3125403,Wyoming,775.0,258.3333333333333,349.0,145.0,4287.0,1429.0,1860.0,796.0,16.6,5.533333333333334,5.8,5.3,70.0,11.666666666666666,22.0,6.0,227.0,75.66666666666667,89.0,66.0,41.0,13.666666666666666,20.0,8.0,403.0,134.33333333333334,204.0,67.0,30.7,10.233333333333333,15.7,6.6,80.0,26.666666666666668,40.0,19.0,0.0,0.0,0.0,0.0
7,2017,51786,Jeremy McNichols,Running Back,RB,Boise State,Broncos,BSU,http://insider.espn.com/nfl/draft/player/_/id/51786,18.0,162.0,5.0,False,,Tampa Bay Buccaneers,TB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/tb.png,e2bd9cd85559f8754155a2a784c2df4c,214.0,69.0,14.0,153.0,60.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51786.png,2017.0,Boise State,RB,68.63,214.0,10.0,31.5,,4.49,,35.5,121.0,4.28,6.93,,3038,3127586,Boise State,571.0,190.33333333333331,314.0,17.0,3205.0,1068.3333333333333,1709.0,159.0,20.4,6.8,9.4,5.4,88.0,14.666666666666666,23.0,1.0,196.0,65.33333333333333,88.0,28.0,103.0,34.333333333333336,51.0,15.0,1089.0,363.0,474.0,155.0,32.1,10.7,12.8,9.0,157.0,52.333333333333336,76.0,40.0,22.0,3.6666666666666665,6.0,1.0
8,2017,52068,Devante Mays,Running Back,RB,Utah State,Aggies,USU,http://insider.espn.com/nfl/draft/player/_/id/52068,20.0,238.0,7.0,True,From DEN,Green Bay Packers,GB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/gb.png,9bde823245001108a39458f25e80f64a,230.0,70.0,55.0,,30.0,,2017.0,Utah State,RB,70.38,230.0,8.63,31.75,,4.55,20.0,39.5,127.0,4.57,7.52,,3500,3918026,Utah State,202.0,101.0,165.0,37.0,1225.0,612.5,966.0,259.0,12.9,6.45,7.0,5.9,24.0,6.0,9.0,3.0,127.0,63.5,66.0,61.0,2.0,1.0,1.0,1.0,17.0,8.5,9.0,8.0,17.0,8.5,9.0,8.0,17.0,8.5,9.0,8.0,0.0,0.0,0.0,0.0
9,2017,51787,Elijah Hood,Running Back,RB,North Carolina,Tar Heels,UNC,http://insider.espn.com/nfl/draft/player/_/id/51787,24.0,242.0,7.0,False,,Oakland Raiders,OAK,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/oak.png,4e6135a2286b0387c3c7b9958caf6eb5,232.0,71.0,28.0,289.0,37.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51787.png,2017.0,North Carolina,RB,71.75,232.0,9.38,30.38,,4.6,18.0,30.5,111.0,4.34,7.21,,3580,3116690,North Carolina,431.0,143.66666666666666,219.0,67.0,2580.0,860.0,1463.0,259.0,16.5,5.5,6.7,3.9,58.0,9.666666666666666,17.0,4.0,152.0,50.66666666666666,67.0,23.0,40.0,13.333333333333334,25.0,2.0,211.0,70.33333333333333,142.0,-2.0,10.2,3.4,5.7,-1.0,46.0,15.333333333333334,31.0,1.0,0.0,0.0,0.0,0.0
